"year","acousticness","danceability","Avg song duration (sec)","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","key","mode"
1921,0.8958234375,0.4256609375,229.9119140625,0.23678359375,0.322330110234375,0.2158140625,-17.0954375,0.0772578125,100.3977578125,0.42549453125,0.3515625,7,1
1922,0.939236111111111,0.48,167.904541666667,0.23702625,0.440469940972222,0.238647222222222,-19.1799583333333,0.115419444444444,101.376138888889,0.534055555555556,0.138888888888889,10,1
1923,0.976328940828403,0.568461538461538,178.356301775148,0.246936094674556,0.401932482366864,0.236655621301775,-14.3738816568047,0.0986189349112426,112.456597633136,0.624787573964497,5.72781065088757,0,1
1924,0.935574544303799,0.548654008438819,188.46164978903,0.347032911392405,0.583954694599156,0.237874683544304,-14.2023037974684,0.0902097046413502,120.653358649789,0.668573839662448,0.60337552742616,10,1
1925,0.965422053231941,0.571889733840304,184.130699619772,0.264372623574144,0.408893408441065,0.243093536121673,-14.5167072243346,0.115457414448669,115.671714828897,0.61643041825095,2.70722433460076,5,1
1926,0.740919593821514,0.55829519450801,170.391501144165,0.239194931350114,0.468505273741419,0.234052517162471,-16.4106212814645,0.306672425629291,108.496573226545,0.495961453089245,1.61327231121281,5,1
1927,0.934606322919466,0.649959731543624,185.16319966443,0.256158724832215,0.402275783758389,0.167778523489933,-14.7268120805369,0.116197483221477,114.6114647651,0.660659060402685,0.832214765100671,7,1
1928,0.946188005917161,0.529695688926457,217.49831191885,0.207142747252747,0.516979011048182,0.177988334742181,-17.3161927303466,0.13531327134404,106.195245984785,0.492953592561285,1.53677092138631,1,1
1929,0.59111050865801,0.647005086580086,169.983425324675,0.24051341991342,0.219461260357143,0.235988311688311,-16.6070887445887,0.485278354978355,111.353988095238,0.638207683982685,0.327922077922078,7,1
1930,0.943474167309809,0.510382249173098,195.908559536935,0.327300192943771,0.36337664030871,0.2173203969129,-12.6859343991179,0.0797023704520396,110.214355567806,0.61845815876516,0.871554575523705,2,1
1931,0.875893522906795,0.556093522906793,179.379573459716,0.258433969984202,0.332011100379148,0.23911785150079,-15.9035813586098,0.233181516587678,108.010281200632,0.571312954186414,0.211690363349131,0,1
1932,0.940087682672235,0.560050939457202,193.462684759916,0.305478496868476,0.226417915678497,0.236319832985386,-13.2889060542797,0.141776409185804,116.225832985386,0.593601878914405,1.54279749478079,7,1
1933,0.905010860450161,0.603766398713826,192.454038585209,0.287360610932476,0.130555862041801,0.210155466237942,-12.7687652733119,0.096170578778135,115.053681672026,0.635153376205788,7.06913183279743,5,1
1934,0.892853750180506,0.52983393501805,187.911996389892,0.259990613718411,0.273865076570397,0.216328158844765,-14.8639386281589,0.104409386281588,115.98828700361,0.564255054151625,1.04693140794224,0,1
1935,0.781330268886046,0.553363892445583,222.171395006402,0.244698444302177,0.226478907439181,0.228123175416133,-15.4944801536492,0.354805121638925,110.664415492958,0.541963636363637,1.36299615877081,7,1
1936,0.795903499051234,0.532999905123339,248.519716318786,0.306197884440228,0.301756586394687,0.225570208728653,-13.7959051233396,0.214865180265655,109.981641366224,0.551709013282732,5.01043643263757,10,1
1937,0.899630872483222,0.556888087248322,205.470575503356,0.286996191275167,0.335733978724832,0.217990939597315,-13.4210201342282,0.0864667785234899,114.591169463087,0.594564932885905,3.5503355704698,7,1
